search_record_id,title,publication_year,doi_normalized,stable_url,oa_url,query_ids,manual_review_reason
R000223,Multi-agent based electric vehicle charging method for smart grid-smart building energy management,2015,10.1109/ptc.2015.7232774,https://doi.org/10.1109/ptc.2015.7232774,,QMA_demand_response_peak_management|QMA_frequency_response_regulation|QMA_local_energy_sharing_distribution_support|QMA_renewable_energy_integration|QMA_resilience_emergency_operation|QPAIR_EV_BLDG_demand_response_peak_management|QPAIR_EV_BLDG_frequency_response_regulation|QPAIR_EV_BLDG_local_energy_sharing_distribution_support|QPAIR_EV_BLDG_renewable_energy_integration|QPAIR_EV_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000226,"Integrated Intelligent Building Energy Management: A Multi-Layer,Framework for Renewable Energy, HVAC Optimization, and Smart,Electrical Network Coordination",2026,10.2139/ssrn.6955743,https://doi.org/10.2139/ssrn.6955743,,QMA_demand_response_peak_management|QMA_frequency_response_regulation|QMA_local_energy_sharing_distribution_support|QMA_renewable_energy_integration|QMA_resilience_emergency_operation|QPAIR_BS_BLDG_frequency_response_regulation|QPAIR_BS_BLDG_local_energy_sharing_distribution_support|QPAIR_BS_BLDG_renewable_energy_integration|QPAIR_BS_BLDG_resilience_emergency_operation|QPAIR_DC_BLDG_renewable_energy_integration|QPAIR_EV_BLDG_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000228,Neural network-based model predictive control for residential four-asset energy co-optimization with vehicle-to-home integration and carbon-aware dispatch,2026,10.1080/19401493.2026.2712297,https://doi.org/10.1080/19401493.2026.2712297,https://www.tandfonline.com/doi/pdf/10.1080/19401493.2026.2712297,QMA_demand_response_peak_management|QMA_frequency_response_regulation|QMA_local_energy_sharing_distribution_support|QMA_renewable_energy_integration|QMA_resilience_emergency_operation|QPAIR_BS_BLDG_renewable_energy_integration|QPAIR_BS_EV_renewable_energy_integration|QPAIR_BS_EV_resilience_emergency_operation|QPAIR_EV_BLDG_renewable_energy_integration|QPAIR_EV_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000231,Building Peak Load Management With High Resolution Weather Data,2015,10.1115/es2015-49233,https://doi.org/10.1115/es2015-49233,,QMA_demand_response_peak_management|QMA_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000239,CGAN-Enhanced Building HVAC Control: A Synthetic Data-Driven Approach for Grid-Responsive Air Conditioning Systems,2025,10.1109/sesg67016.2025.00020,https://doi.org/10.1109/sesg67016.2025.00020,,QMA_frequency_response_regulation|QMA_local_energy_sharing_distribution_support|QMA_resilience_emergency_operation|QPAIR_DC_BLDG_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000240,Combining data centers with electric vehicle battery swapping stations for grid regulation,2016,10.1109/igbsg.2016.7539453,https://doi.org/10.1109/igbsg.2016.7539453,,QMA_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000250,Hierarchical Economic Model Predictive Control Approach for a Building Energy Management System With Scenario-Driven EV Charging,2022,10.1109/tsg.2022.3160390,https://doi.org/10.1109/tsg.2022.3160390,,QMA_local_energy_sharing_distribution_support|QPAIR_EV_BLDG_frequency_response_regulation|QPAIR_EV_BLDG_local_energy_sharing_distribution_support|QPAIR_EV_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000255,"Integrated Intelligent Building Energy Management: A Multi-LayerFramework for Renewable Energy, HVAC Optimization, and SmartElectrical Network Coordination",2026,10.2139/ssrn.6993209,https://doi.org/10.2139/ssrn.6993209,,QMA_renewable_energy_integration|QPAIR_BS_BLDG_frequency_response_regulation|QPAIR_BS_BLDG_local_energy_sharing_distribution_support|QPAIR_BS_BLDG_renewable_energy_integration|QPAIR_BS_BLDG_resilience_emergency_operation|QPAIR_DC_BLDG_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000280,Optimal energy management of smart building for peak shaving considering multi-energy flexibility measures,2021,10.1016/j.enbuild.2021.110932,https://doi.org/10.1016/j.enbuild.2021.110932,,QPAIR_BS_BLDG_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000321,Building Energy Management Systems (BEMS) or Building Automation Control System (BACS),2018,10.1201/9780429464461-3,https://doi.org/10.1201/9780429464461-3,,QPAIR_BS_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000322,"Model Predictive Control for Multi-Objective Vehicle-to-Grid Dispatch: Jointly Optimizing Peak Shaving, Renewable Utilization, Battery Degradation, and Economic Revenue in Smart EV Infrastructures",2026,10.20944/preprints202607.2314.v1,https://doi.org/10.20944/preprints202607.2314.v1,,QPAIR_BS_EV_demand_response_peak_management|QPAIR_DC_EV_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000327,Optimization of Electric Vehicle Charging Control in a Demand-Side Management Context: A Model Predictive Control Approach,2024,10.3390/app14198736,https://doi.org/10.3390/app14198736,,QPAIR_BS_EV_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000328,Advanced Cluster-Based Load Forecasting and Peak Demand Management for Electric Vehicle Charging Networks,2025,10.1109/access.2025.3578875,https://doi.org/10.1109/access.2025.3578875,,QPAIR_BS_EV_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000330,Energy Packet Reservation and Optimization System for Electric Vehicle Energy Cost and Charging Station Peak Demand Reduction,2024,10.1109/isgt59692.2024.10454209,https://doi.org/10.1109/isgt59692.2024.10454209,,QPAIR_BS_EV_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000333,Optimal Location for Electric Vehicle Fast Charging Station as a Dynamic Load for Frequency Control Using Particle Swarm Optimization Method,2025,10.3390/wevj16070354,https://doi.org/10.3390/wevj16070354,,QPAIR_BS_EV_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000335,Frequency Control in Microgrids Based on Fuzzy Coordinated Electric Vehicle Charging Station,2022,10.1002/9781119760597.ch6,https://doi.org/10.1002/9781119760597.ch6,https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781119760597.ch6,QPAIR_BS_EV_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000339,Automatic control algorithm for V2G frequency response mode of electric vehicle charging station,2024,10.1088/1742-6596/2876/1/012030,https://doi.org/10.1088/1742-6596/2876/1/012030,https://iopscience.iop.org/article/10.1088/1742-6596/2876/1/012030/pdf,QPAIR_BS_EV_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000340,Autonomous frequency regulation control of V2G(Vehicle-to-grid) system,2017,10.1109/ccdc.2017.7978208,https://doi.org/10.1109/ccdc.2017.7978208,,QPAIR_BS_EV_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000346,Solar Power Charging of Electric Vehicle Along with the Implementation of Vehicle-To-Grid (V2G) Technology,2022,10.1007/978-981-19-0979-5_30,https://doi.org/10.1007/978-981-19-0979-5_30,,QPAIR_BS_EV_local_energy_sharing_distribution_support|QPAIR_BS_EV_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000350,Efficient Voltage Control Management In Distribution Network Using Transactive Energy Based Electric Vehicle Charging and Discharging,2026,10.1109/eprec66546.2026.11412143,https://doi.org/10.1109/eprec66546.2026.11412143,,QPAIR_BS_EV_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000351,Novel control-based design optimization of smart energy distribution and Management in Vehicle-to-Grid Integrated Microgrid,2026,10.1016/j.apenergy.2025.127047,https://doi.org/10.1016/j.apenergy.2025.127047,,QPAIR_BS_EV_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000365,Power electronics in a PV-integrated grid-connected electric vehicle charging system for V2G/G2V operation,2024,10.1049/pbpo248e_ch12,https://doi.org/10.1049/pbpo248e_ch12,,QPAIR_BS_EV_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000366,Coordinated Operation of Electric Vehicle Charging Stations (EVCS) and Distributed Power Generation in Grids Using AI Technology,2024,10.1201/9781003311829-7,https://doi.org/10.1201/9781003311829-7,,QPAIR_BS_EV_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000369,Energy Management System for Electric Vehicle Charging Station using Deep Learning and Model Predictive Control,2025,10.1109/icpc2t63847.2025.10958711,https://doi.org/10.1109/icpc2t63847.2025.10958711,,QPAIR_BS_EV_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000401,Data Predictive Control for building energy management,2017,10.23919/acc.2017.7962928,https://doi.org/10.23919/acc.2017.7962928,,QPAIR_DC_BLDG_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000404,Data-driven predictive control for unlocking building energy flexibility: A review,2021,10.1016/j.rser.2020.110120,https://doi.org/10.1016/j.rser.2020.110120,,QPAIR_DC_BLDG_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000405,Data-driven distributionally robust optimization of low-carbon data center energy systems considering multi-task response and renewable energy uncertainty,2025,10.1016/j.jobe.2025.111937,https://doi.org/10.1016/j.jobe.2025.111937,,QPAIR_DC_BLDG_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000411,Building information modeling and building automation systems data integration and big data analytics for building energy management,2022,10.4337/9781839105524.00036,https://doi.org/10.4337/9781839105524.00036,,QPAIR_DC_BLDG_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000426,Shaving Data Center Power Demand Peaks Through Energy Storage and Workload Shifting Control,2019,10.1109/tcc.2017.2744623,https://doi.org/10.1109/tcc.2017.2744623,,QPAIR_DC_BS_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000450,FastTune: Timely and Precise Congestion Control in Data Center Network,2021,10.1109/ispa-bdcloud-socialcom-sustaincom52081.2021.00043,https://doi.org/10.1109/ispa-bdcloud-socialcom-sustaincom52081.2021.00043,,QPAIR_DC_BS_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000453,Multi-time-scale Hierarchical Coordinated Optimal Scheduling of Data Center Park-Integrated Energy System: Low-Carbon-Economic Synergistic Strategy under High-Proportion Renewable Energy Integration,2025,10.2139/ssrn.5477055,https://doi.org/10.2139/ssrn.5477055,,QPAIR_DC_BS_renewable_energy_integration|QPAIR_DC_EV_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000459,Carbon-Aware Cloud Computing: AI-Driven Predictive Modeling and Dynamic Optimization of Data Center Energy Consumption and Emission Reduction Strategies,2025,10.63163/jpehss.v3i3.619,https://doi.org/10.63163/jpehss.v3i3.619,https://journal-of-social-education.org/index.php/Jorunal/article/download/619/643,QPAIR_DC_BS_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000487,Physics-Data Fusion Enhanced Virtual Synchronous Generator Control Strategy for Multiple Charging Stations Active Frequency Response,2025,10.3390/wevj16070347,https://doi.org/10.3390/wevj16070347,,QPAIR_DC_EV_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000494,A Mamba State-Space Sequence Model for AI-Driven Dynamic Aggregation and Predictive Control of Electric Vehicle Clusters in Vehicle-to-Grid Energy Management,2026,10.3390/electronics15112380,https://doi.org/10.3390/electronics15112380,,QPAIR_DC_EV_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000506,Data-Driven AI Modeling of Renewable Energy-Based Smart EV Charging Stations Using Historical Weather and Load Data,2026,10.3390/wevj17010037,https://doi.org/10.3390/wevj17010037,,QPAIR_DC_EV_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000525,Grid-Interactive Electric Vehicle and Building Coordination Using Coupled Distributed Control,2022,10.23919/acc53348.2022.9867206,https://doi.org/10.23919/acc53348.2022.9867206,,QPAIR_EV_BLDG_demand_response_peak_management|QPAIR_EV_BLDG_frequency_response_regulation|QPAIR_EV_BLDG_local_energy_sharing_distribution_support|QPAIR_EV_BLDG_renewable_energy_integration|QPAIR_EV_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000538,Enhancing grid-friendliness in PV building clusters via a coordinated control strategy integrating bidirectional electric vehicle charging,2026,10.1016/j.energy.2026.140752,https://doi.org/10.1016/j.energy.2026.140752,,QPAIR_EV_BLDG_frequency_response_regulation|QPAIR_EV_BLDG_local_energy_sharing_distribution_support|QPAIR_EV_BLDG_renewable_energy_integration|QPAIR_EV_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000540,Decentralized Off-grid Vehicle-to-Building (V2B) Operation: A Reinforcement Learning Approach for Optimal Charge-Discharge Control of Energy Storage Systems,2025,10.2139/ssrn.5653568,https://doi.org/10.2139/ssrn.5653568,,QPAIR_EV_BLDG_frequency_response_regulation|QPAIR_EV_BLDG_local_energy_sharing_distribution_support|QPAIR_EV_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000591,Optimization of Battery Energy Storage and Building HVAC Systems for Energy Cost Efficiency and Frequency Regulation,2020,10.1109/isgt45199.2020.9087738,https://doi.org/10.1109/isgt45199.2020.9087738,,QPR_BLDG_frequency_response_regulation|QSA_BLDG_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000681,Quantifying AI data center flexibility as a resource adequacy asset,2026,10.21203/rs.3.rs-9829457/v1,https://doi.org/10.21203/rs.3.rs-9829457/v1,,QPR_DC_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000708,Location selection methodology for data center with renewable energy integration,2025,10.1016/j.renene.2025.123270,https://doi.org/10.1016/j.renene.2025.123270,,QPR_DC_renewable_energy_integration|QSA_DC_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000709,Renewable Energy-aware Data Centre Operations for Smart Cities - The DC4Cities Approach,2015,10.5220/0005430600260034,https://doi.org/10.5220/0005430600260034,,QPR_DC_renewable_energy_integration|QSA_DC_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000729,Flexibility of Electric Vehicle Charging With Demand Response and Vehicle-to-Grid for Power System Benefit,2024,10.1109/access.2024.3459053,https://doi.org/10.1109/access.2024.3459053,,QPR_EV_demand_response_peak_management|QSA_EV_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000730,Investigating the Impact of Electric Vehicle Charging on the Electrical Grid and Understanding Smart Grid Solutions that Can Manage the Variability and Uncertainty of Electric Vehicle Charging Demand,2023,10.21275/sr23901162102,https://doi.org/10.21275/sr23901162102,,QPR_EV_demand_response_peak_management|QSA_EV_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000731,Optimization of Electric Vehicle Charging to Shave Peak Load for Integration in Smart Grid,2020,10.1109/tensymp50017.2020.9231029,https://doi.org/10.1109/tensymp50017.2020.9231029,,QPR_EV_demand_response_peak_management|QSA_EV_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000740,Optimizing EV cluster contribution for vehicle-to-grid(V2G) frequency regulation,2022,10.1109/upec55022.2022.9917791,https://doi.org/10.1109/upec55022.2022.9917791,,QPR_EV_frequency_response_regulation|QSA_EV_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000761,A smart algorithm to optimally manage the charging strategy of the Home to Vehicle (H2V) and Vehicle to Home (V2H) technologies in an off-grid home powered by renewable sources,2022,10.21203/rs.3.rs-1685933/v1,https://doi.org/10.21203/rs.3.rs-1685933/v1,,QPR_EV_renewable_energy_integration|QPR_EV_resilience_emergency_operation|QSA_EV_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000811,"Grid-Interactive Efficient Buildings Technical Report Series: Heating, Ventilation, and Air Conditioning (HVAC); Water Heating; Appliances; and Refrigeration",2019,10.2172/1580209,https://doi.org/10.2172/1580209,,QSA_BLDG_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000961,Clean Energy Integration in Electric Mobility: A Novel Approach to Solar-Powered Ev Charging Using Vehicle-to-Grid-Enabled Smart Technology,2024,10.62441/nano-ntp.v20i7.5110,https://doi.org/10.62441/nano-ntp.v20i7.5110,,QSA_EV_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000972,Energy consumption prediction by using machine learning for smart building: Case study in Malaysia,2020,10.1016/j.dibe.2020.100037,https://doi.org/10.1016/j.dibe.2020.100037,https://www.sciencedirect.com/science/article/pii/S266616592030034X/pdf,QFIELD_BLDG_demand_response_peak_management|QSA_BLDG_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000973,Multi-Objective Optimization Model of Source–Load–Storage Synergetic Dispatch for a Building Energy Management System Based on TOU Price Demand Response,2017,10.1109/tia.2017.2781639,https://doi.org/10.1109/tia.2017.2781639,,QFIELD_BLDG_demand_response_peak_management|QSA_BLDG_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000975,Intelligent Residential Energy Management System for Dynamic Demand Response in Smart Buildings,2017,10.1109/jsyst.2017.2647759,https://doi.org/10.1109/jsyst.2017.2647759,,QFIELD_BLDG_demand_response_peak_management|QSA_BLDG_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000976,An overview of machine learning applications for smart buildings,2021,10.1016/j.scs.2021.103445,https://doi.org/10.1016/j.scs.2021.103445,https://www.sciencedirect.com/science/article/pii/S2210670721007186/pdf,QFIELD_BLDG_demand_response_peak_management|QFIELD_BLDG_frequency_response_regulation|QFIELD_BLDG_local_energy_sharing_distribution_support|QFIELD_BLDG_resilience_emergency_operation|QMA_resilience_emergency_operation|QPR_BLDG_demand_response_peak_management|QPR_BLDG_frequency_response_regulation|QPR_BLDG_local_energy_sharing_distribution_support|QPR_BLDG_resilience_emergency_operation|QSA_BLDG_frequency_response_regulation|QSA_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000978,Artificial Intelligence Evolution in Smart Buildings for Energy Efficiency,2021,10.3390/app11020763,https://doi.org/10.3390/app11020763,https://www.mdpi.com/2076-3417/11/2/763/pdf?version=1611030454,QFIELD_BLDG_demand_response_peak_management|QFIELD_BLDG_local_energy_sharing_distribution_support|QFIELD_BLDG_renewable_energy_integration|QFIELD_BLDG_resilience_emergency_operation|QPR_BLDG_renewable_energy_integration|QPR_BLDG_resilience_emergency_operation|QSA_BLDG_local_energy_sharing_distribution_support|QSA_BLDG_renewable_energy_integration|QSA_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000979,"A review of strategies for building energy management system: Model predictive control, demand side management, optimization, and fault detect & diagnosis",2020,10.1016/j.jobe.2020.101692,https://doi.org/10.1016/j.jobe.2020.101692,https://uvadoc.uva.es/bitstream/10324/64608/4/pre1-s2.0-S2352710220310627-main.pdf,QFIELD_BLDG_demand_response_peak_management|QFIELD_BLDG_frequency_response_regulation|QFIELD_BLDG_local_energy_sharing_distribution_support|QPAIR_EV_BLDG_demand_response_peak_management|QPAIR_EV_BLDG_frequency_response_regulation|QPAIR_EV_BLDG_local_energy_sharing_distribution_support|QPR_BLDG_demand_response_peak_management|QPR_BLDG_frequency_response_regulation|QPR_BLDG_local_energy_sharing_distribution_support|QSA_BLDG_demand_response_peak_management|QSA_BLDG_frequency_response_regulation|QSA_BLDG_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000986,Grid-Interactive Efficient Buildings Technical Report Series: Overview of Research Challenges and Gaps,2019,10.2172/1577966,https://doi.org/10.2172/1577966,https://www.osti.gov/servlets/purl/1577966,QFIELD_BLDG_frequency_response_regulation|QFIELD_BLDG_renewable_energy_integration|QFIELD_BLDG_resilience_emergency_operation|QPAIR_EV_BLDG_frequency_response_regulation|QPAIR_EV_BLDG_renewable_energy_integration|QPAIR_EV_BLDG_resilience_emergency_operation|QPR_BLDG_frequency_response_regulation|QPR_BLDG_renewable_energy_integration|QPR_BLDG_resilience_emergency_operation|QSA_BLDG_frequency_response_regulation|QSA_BLDG_renewable_energy_integration|QSA_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000988,Extended Utilization of Electric Vehicles and their Re-used Batteries to Support the Building Energy Management System,2015,10.1016/j.egypro.2015.07.226,https://doi.org/10.1016/j.egypro.2015.07.226,https://www.sciencedirect.com/science/article/pii/S1876610215009947/pdf,QFIELD_BLDG_frequency_response_regulation|QPAIR_EV_BLDG_frequency_response_regulation|QSA_BLDG_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000989,An Advanced IoT-based System for Intelligent Energy Management in Buildings,2018,10.3390/s18020610,https://doi.org/10.3390/s18020610,https://www.mdpi.com/1424-8220/18/2/610/pdf?version=1519294815,QFIELD_BLDG_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000990,Ten questions concerning integrating smart buildings into the smart grid,2016,10.1016/j.buildenv.2016.08.022,https://doi.org/10.1016/j.buildenv.2016.08.022,https://lirias.kuleuven.be/handle/123456789/551005,QFIELD_BLDG_frequency_response_regulation|QFIELD_BLDG_renewable_energy_integration|QSA_BLDG_frequency_response_regulation|QSA_BLDG_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000991,Optimal control of demand flexibility under real-time pricing for heating systems in buildings: A real-life demonstration,2020,10.1016/j.apenergy.2020.114671,https://doi.org/10.1016/j.apenergy.2020.114671,https://www.sciencedirect.com/science/article/pii/S0306261920301835/pdf,QFIELD_BLDG_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000998,A systematic literature review on the use of artificial intelligence in energy self-management in smart buildings,2021,10.1016/j.rser.2021.111530,https://doi.org/10.1016/j.rser.2021.111530,https://www.sciencedirect.com/science/article/pii/S136403212100808X/pdf,QFIELD_BLDG_local_energy_sharing_distribution_support|QFIELD_BLDG_renewable_energy_integration|QPAIR_EV_BLDG_renewable_energy_integration|QPR_BLDG_local_energy_sharing_distribution_support|QPR_BLDG_renewable_energy_integration|QSA_BLDG_local_energy_sharing_distribution_support|QSA_BLDG_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000999,Optimal operation of an energy management system for a grid-connected smart building considering photovoltaics’ uncertainty and stochastic electric vehicles’ driving schedule,2017,10.1016/j.apenergy.2017.07.035,https://doi.org/10.1016/j.apenergy.2017.07.035,,QFIELD_BLDG_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R001000,A taxonomy of machine learning applications for virtual power plants and home/building energy management systems,2022,10.1016/j.autcon.2022.104174,https://doi.org/10.1016/j.autcon.2022.104174,https://doi.org/10.1016/j.autcon.2022.104174,QFIELD_BLDG_local_energy_sharing_distribution_support|QMA_renewable_energy_integration|QPAIR_BS_BLDG_frequency_response_regulation|QPAIR_BS_BLDG_local_energy_sharing_distribution_support|QPAIR_BS_BLDG_renewable_energy_integration|QSA_BLDG_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R001007,Adaptive-predictive control strategy for HVAC systems in smart buildings – A review,2020,10.1016/j.scs.2020.102480,https://doi.org/10.1016/j.scs.2020.102480,https://www.sciencedirect.com/science/article/pii/S2210670720307009/pdf,QFIELD_BLDG_renewable_energy_integration|QPR_BLDG_renewable_energy_integration|QSA_BLDG_renewable_energy_integration,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R001008,Systematic Review Analysis on Smart Building: Challenges and Opportunities,2022,10.3390/su14053009,https://doi.org/10.3390/su14053009,https://www.mdpi.com/2071-1050/14/5/3009/pdf?version=1646631139,QFIELD_BLDG_renewable_energy_integration|QFIELD_BLDG_resilience_emergency_operation|QPR_BLDG_renewable_energy_integration|QPR_BLDG_resilience_emergency_operation|QSA_BLDG_renewable_energy_integration|QSA_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R001028,"Towards 6G wireless communication networks: vision, enabling technologies, and new paradigm shifts",2020,10.1007/s11432-020-2955-6,https://doi.org/10.1007/s11432-020-2955-6,https://link.springer.com/content/pdf/10.1007/s11432-020-2955-6.pdf,QFIELD_BS_demand_response_peak_management|QFIELD_BS_resilience_emergency_operation|QPAIR_DC_BS_demand_response_peak_management|QPAIR_DC_BS_resilience_emergency_operation|QPR_BS_demand_response_peak_management|QPR_BS_resilience_emergency_operation|QSA_BS_demand_response_peak_management|QSA_BS_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R001034,Integrated Sensing and Communication Signals Toward 5G-A and 6G: A Survey,2023,10.1109/jiot.2023.3235618,https://doi.org/10.1109/jiot.2023.3235618,https://arxiv.org/pdf/2301.03857,QFIELD_BS_frequency_response_regulation|QPR_BS_demand_response_peak_management|QPR_BS_frequency_response_regulation|QSA_BS_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R001040,"Reconfigurable, Intelligent, and Sustainable Wireless Environments for 6G Smart Connectivity",2021,10.1109/mcom.001.2100070,https://vbn.aau.dk/da/publications/74ecb814-f115-42a3-bc32-6c749cede2b3,http://arxiv.org/pdf/2110.07547,QFIELD_BS_frequency_response_regulation|QSA_BS_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R001041,Frequency Regulation Service Provision for Virtual Power Plants Through 5G RAN Slicing,2022,10.1109/tsg.2022.3177765,https://doi.org/10.1109/tsg.2022.3177765,,QFIELD_BS_frequency_response_regulation|QFIELD_BS_local_energy_sharing_distribution_support|QSA_BS_frequency_response_regulation|QSA_BS_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R001047,Data-driven energy management of virtual power plants: A review,2024,10.1016/j.adapen.2024.100170,https://doi.org/10.1016/j.adapen.2024.100170,https://doi.org/10.1016/j.adapen.2024.100170,QFIELD_BS_local_energy_sharing_distribution_support|QFIELD_DC_local_energy_sharing_distribution_support|QPR_BS_local_energy_sharing_distribution_support|QPR_DC_local_energy_sharing_distribution_support|QSA_BS_local_energy_sharing_distribution_support|QSA_DC_local_energy_sharing_distribution_support,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R001070,Modeling and Analysis of Cellular Networks Using Stochastic Geometry: A Tutorial,2016,10.1109/comst.2016.2624939,https://doi.org/10.1109/comst.2016.2624939,https://arxiv.org/pdf/1604.03689,QFIELD_BS_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R001085,Potential of data centers for fast frequency response services in synchronously isolated power systems,2021,10.1016/j.rser.2021.111547,https://doi.org/10.1016/j.rser.2021.111547,https://www.sciencedirect.com/science/article/am/pii/S136403212100825X?via%3Dihub,QFIELD_DC_frequency_response_regulation|QPAIR_DC_EV_frequency_response_regulation|QPR_DC_frequency_response_regulation|QSA_DC_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
