search_record_id,search_run_id,query_id,query_family,source_database,source_record_id,rank_in_response,title,abstract,publication_year,doi_raw,doi_normalized,stable_url,oa_url,document_type,authors,venue_or_issuer,language,region_or_jurisdiction,repository_path,source_sha256,raw_response_path
R000959,RUN_20260831_EVIDENCE_MAP_01,QSA_EV_renewable_energy_integration,single_asset_service,crossref,10.1201/9781003585534-12,8,Comparative Analysis of AC and DC Electric Vehicle Charging Systems with Renewable Energy Integration,,2026,10.1201/9781003585534-12,10.1201/9781003585534-12,https://doi.org/10.1201/9781003585534-12,,book-chapter,Anjana Ethirajan|Ramaprabha Ramabadran,CRC Press,en,,,,data/raw_metadata/crossref/QSA_EV_renewable_energy_integration.json
R000960,RUN_20260831_EVIDENCE_MAP_01,QSA_EV_renewable_energy_integration,single_asset_service,crossref,10.1007/s12667-022-00548-x,9,A smart algorithm to optimally manage the charging strategy of the Home to Vehicle (H2V) and Vehicle to Home (V2H) technologies in an off-grid home powered by renewable sources,,2024,10.1007/s12667-022-00548-x,10.1007/s12667-022-00548-x,https://doi.org/10.1007/s12667-022-00548-x,https://link.springer.com/content/pdf/10.1007/s12667-022-00548-x.pdf,journal-article,Domenico Mazzeo|Nicoletta Matera|Rocco De Luca|Roberto Musmanno,Springer Science and Business Media LLC,en,,,,data/raw_metadata/crossref/QSA_EV_renewable_energy_integration.json
R000961,RUN_20260831_EVIDENCE_MAP_01,QSA_EV_renewable_energy_integration,single_asset_service,crossref,10.62441/nano-ntp.v20i7.5110,10,Clean Energy Integration in Electric Mobility: A Novel Approach to Solar-Powered Ev Charging Using Vehicle-to-Grid-Enabled Smart Technology,,2024,10.62441/nano-ntp.v20i7.5110,10.62441/nano-ntp.v20i7.5110,https://doi.org/10.62441/nano-ntp.v20i7.5110,,journal-article,,Dewspublication,,,,,data/raw_metadata/crossref/QSA_EV_renewable_energy_integration.json
R000962,RUN_20260831_EVIDENCE_MAP_01,QSA_EV_resilience_emergency_operation,single_asset_service,crossref,10.1016/j.energy.2021.121608,1,Combined vehicle to building (V2B) and vehicle to home (V2H) strategy to increase electric vehicle market share,,2021,10.1016/j.energy.2021.121608,10.1016/j.energy.2021.121608,https://doi.org/10.1016/j.energy.2021.121608,,journal-article,David Borge-Diez|Daniel Icaza|Emin Açıkkalp|Hortensia Amaris,Elsevier BV,en,,,,data/raw_metadata/crossref/QSA_EV_resilience_emergency_operation.json
R000963,RUN_20260831_EVIDENCE_MAP_01,QSA_EV_resilience_emergency_operation,single_asset_service,crossref,10.1109/tsg.2016.2603502,2,Plug-In Electric Vehicle to Home (V2H) Operation Under a Grid Outage,,2017,10.1109/tsg.2016.2603502,10.1109/tsg.2016.2603502,https://doi.org/10.1109/tsg.2016.2603502,http://ieeexplore.ieee.org/ielaam/5165411/7953698/7553513-aam.pdf,journal-article,Hunyoung Shin|Ross Baldick,Institute of Electrical and Electronics Engineers (IEEE),,,,,data/raw_metadata/crossref/QSA_EV_resilience_emergency_operation.json
R000964,RUN_20260831_EVIDENCE_MAP_01,QSA_EV_resilience_emergency_operation,single_asset_service,crossref,10.1109/pesgre45664.2020.9070489,3,Charging Scheduling of Electric Vehicle incorporating Grid-to-Vehicle (G2V) and Vehicle-to-Grid (V2G) technology in Smart-Grid,,2020,10.1109/pesgre45664.2020.9070489,10.1109/pesgre45664.2020.9070489,https://doi.org/10.1109/pesgre45664.2020.9070489,,proceedings-article,Sourav Das|Parimal Acharjee|Aniruddha Bhattacharya,IEEE,,,,,data/raw_metadata/crossref/QSA_EV_resilience_emergency_operation.json
R000965,RUN_20260831_EVIDENCE_MAP_01,QSA_EV_resilience_emergency_operation,single_asset_service,crossref,10.1109/isgt-asia.2015.7387135,4,Optimal electric vehicle scheduling in smart home with V2H/V2G regulation,,2015,10.1109/isgt-asia.2015.7387135,10.1109/isgt-asia.2015.7387135,https://doi.org/10.1109/isgt-asia.2015.7387135,,proceedings-article,Dalong Guo|Peizhong Yi|Chi Zhou|Jia Wang,IEEE,,,,,data/raw_metadata/crossref/QSA_EV_resilience_emergency_operation.json
R000966,RUN_20260831_EVIDENCE_MAP_01,QSA_EV_resilience_emergency_operation,single_asset_service,crossref,10.1109/calcon49167.2020.9106552,5,Charging Scheduling of Electric Vehicles (EV) in Probabilistic Scenario considering Grid-to-Vehicle (G2V) and Vehicle-to-Grid (V2G),,2020,10.1109/calcon49167.2020.9106552,10.1109/calcon49167.2020.9106552,https://doi.org/10.1109/calcon49167.2020.9106552,,proceedings-article,Sourav Das|Aniruddha Bhattacharya|Parimal Acharjee,IEEE,,,,,data/raw_metadata/crossref/QSA_EV_resilience_emergency_operation.json
R000967,RUN_20260831_EVIDENCE_MAP_01,QSA_EV_resilience_emergency_operation,single_asset_service,crossref,10.2174/9789815324877125010010,6,Vehicle-to-Grid (V2G) Battery Charging System for Electric Vehicles,"This study introduces a groundbreaking Vehicle-to-Grid (V2G) battery charging system tailored specifically for Electric Vehicles (EVs), accompanied by a comprehensive analysis and design methodology. The innovative technology facilitates bidirectional power flow, allowing energy to be transferred from the EV back to the grid or other interconnected devices, alongside conventional charging capabilities for EV batteries. This bidirectional functionality not only enhances the adaptability and efficiency of EV charging infrastructure but also holds significant promise for enhancing the resilience and stability of the grid. By enabling EVs to not only draw energy from the grid but also contribute surplus energy back when needed, the V2G system transforms EVs into flexible energy storage units. This capability can play a crucial role in mitigating grid imbalances caused by fluctuations in renewable energy generation or unexpected demand spikes. Moreover, during peak demand periods or emergencies, EVs can act as distributed energy resources, providing valuable support to the grid and reducing strain on traditional power generation facilities. The deployment of such a V2G system represents a paradigm shift in the way we approach both EV charging and grid management. It offers a sustainable solution to enhance grid resilience, reduce reliance on fossil fuels, and accommodate the growing demand for electric mobility. Additionally, the bidirectional power flow capability opens up opportunities for new revenue streams for EV owners through participation in energy markets or grid services.",2025,10.2174/9789815324877125010010,10.2174/9789815324877125010010,https://doi.org/10.2174/9789815324877125010010,,book-chapter,Anurag Dwivedi|Vidhi Dubey|Vaibhav Tripathi,BENTHAM SCIENCE PUBLISHERS,,,,,data/raw_metadata/crossref/QSA_EV_resilience_emergency_operation.json
R000968,RUN_20260831_EVIDENCE_MAP_01,QSA_EV_resilience_emergency_operation,single_asset_service,crossref,10.1007/978-981-15-2639-8_7,7,Efficient Vehicle-to-Grid (V2G) Coordination in Smart Grid Under Auction Games,,2020,10.1007/978-981-15-2639-8_7,10.1007/978-981-15-2639-8_7,https://doi.org/10.1007/978-981-15-2639-8_7,,book-chapter,Zhongjing Ma|Suli Zou,Springer Singapore,en,,,,data/raw_metadata/crossref/QSA_EV_resilience_emergency_operation.json
R000969,RUN_20260831_EVIDENCE_MAP_01,QSA_EV_resilience_emergency_operation,single_asset_service,crossref,10.1109/isgteurope56780.2023.10407696,8,Reducing Marginal Emissions of an Electric Vehicle Fleet through Smart Charging and Vehicle-to-grid,,2023,10.1109/isgteurope56780.2023.10407696,10.1109/isgteurope56780.2023.10407696,https://doi.org/10.1109/isgteurope56780.2023.10407696,,proceedings-article,Pierre Dumont|Marc Petit|Damien-Pierre Sainflou,IEEE,,,,,data/raw_metadata/crossref/QSA_EV_resilience_emergency_operation.json
R000970,RUN_20260831_EVIDENCE_MAP_01,QSA_EV_resilience_emergency_operation,single_asset_service,crossref,10.21203/rs.3.rs-1685933/v1,9,A smart algorithm to optimally manage the charging strategy of the Home to Vehicle (H2V) and Vehicle to Home (V2H) technologies in an off-grid home powered by renewable sources,"Abstract European directives promote activities aimed at developing a sustainable and decarbonised energy system, with a greater share of electricity production from renewable sources, within a framework of greater efficiency. In the energy of nZEB buildings, the reduction of energy needs is accompanied by the use of hybrid renewable energy systems (HRES) for the production of energy on-site to be used for appliances and lighting and also for mobility through the electric vehicle (EV) charging. With reference to this framework, the paper studied the integration of Vehicle to Home (V2H) technology in HRES for residential users. The HRES consists of a photovoltaic (PV) generator, a wind generator, an electrical storage system and a charging station for an EV, in a stand-alone context. V2H technology provides for the use of the EV as an emergency energy source if the generation and storage systems are unable to guarantee the satisfaction of the residential load. For this purpose, an algorithm is proposed that can manage and optimize the dissipated energy produced in excess, providing that this is sent, when possible, to the EV for extra charging compared to the residential charging expected in the load determination. This extra charging process does not affect the load required by the residential user being carried out directly by the generation system with the excess energy produced. With reference to an isolated single-family user not connected to the network and to the use of an EV (which ensures mobility), two energy scenarios were considered, in the absence and the presence of V2H technology. The possibility of EV charging at night and an additional extra charge during the day were considered. The load required for nocturnal EV charging rests on the residential load of the home, while the extra charge is directly borne by the generation system. To reduce excess energy, which in the considered context must be dissipated, two charging strategies were considered that differ in the choice of whether or not to carry out nocturnal charging depending on the EV state of charge. The different system configurations and use of the generated energy make the energy analysis complete to identify the performance of these systems. The dynamic simulations of the HRES operation were carried out through TRNSYS, for the dynamic simulation of the PV and wind systems, which is coupled with MATLAB to dynamically simulate the residential battery and the H2V and V2H technologies. Starting from the hourly results obtained, an yearly energy analysis was carried out.",2022,10.21203/rs.3.rs-1685933/v1,10.21203/rs.3.rs-1685933/v1,https://doi.org/10.21203/rs.3.rs-1685933/v1,,posted-content,Domenico MAZZEO|Nicoletta Matera|Rocco De Luca|Roberto Musmanno,Springer Science and Business Media LLC,,,,,data/raw_metadata/crossref/QSA_EV_resilience_emergency_operation.json
R000971,RUN_20260831_EVIDENCE_MAP_01,QSA_EV_resilience_emergency_operation,single_asset_service,crossref,10.1049/pbtr016e_ch4,10,Multi-criteria optimization of electric vehicle fleet charging and discharging schedule for secondary frequency control,,2019,10.1049/pbtr016e_ch4,10.1049/pbtr016e_ch4,https://doi.org/10.1049/pbtr016e_ch4,,book-chapter,Aleksandar Janjic|Lazar Z. Velimirovic,Institution of Engineering and Technology,en,,,,data/raw_metadata/crossref/QSA_EV_resilience_emergency_operation.json
R000972,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,openalex,https://openalex.org/W3112965332,1,Energy consumption prediction by using machine learning for smart building: Case study in Malaysia,"Building Energy Management System (BEMS) has been a substantial topic nowadays due to its importance in reducing energy wastage. However, the performance of one of BEMS applications which is energy consumption prediction has been stagnant due to problems such as low prediction accuracy. Thus, this research aims to address the problems by developing a predictive model for energy consumption in Microsoft Azure cloud-based machine learning platform. Three methodologies which are Support Vector Machine, Artificial Neural Network, and k-Nearest Neighbour are proposed for the algorithm of the predictive model. Focusing on real-life application in Malaysia, two tenants from a commercial building are taken as a case study. The data collected is analysed and pre-processed before it is used for model training and testing. The performance of each of the methods is compared based on RMSE, NRMSE, and MAPE metrics. The experimentation shows that each tenant’s energy consumption has different distribution characteristics.",2020,https://doi.org/10.1016/j.dibe.2020.100037,10.1016/j.dibe.2020.100037,https://doi.org/10.1016/j.dibe.2020.100037,https://www.sciencedirect.com/science/article/pii/S266616592030034X/pdf,article,Mel Keytingan M. Shapi|Nor Azuana Ramli|Lilik Jamilatul Awalin,Developments in the Built Environment,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_demand_response_peak_management.json
R000973,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,openalex,https://openalex.org/W2771369270,2,Multi-Objective Optimization Model of Source–Load–Storage Synergetic Dispatch for a Building Energy Management System Based on TOU Price Demand Response,"The optimized operation of a building energy management system (BEMS) is of great significance to its operation security, economy, and efficiency. This paper proposes a day-ahead multiobjective optimization model for the BEMS under time-of-use price-based demand response (DR), which integrates building integrated photovoltaic with other generations to optimize the economy and occupants' comfort by the synergetic dispatch of source-load-storage. The occupants' comfort contains three aspects of the indoor environment: visual comfort; thermal comfort; and indoor air quality comfort. With the consideration of controllable load that could participate in DR programs, the balances among different energy styles, electric, thermal, and cooling loads are guaranteed during the optimized operation. YALMIP toolbox in MATLAB was applied to solve the optimization problem. Finally, a case study was conducted to validate the effectiveness and adaptability of the proposed model.",2017,https://doi.org/10.1109/tia.2017.2781639,10.1109/tia.2017.2781639,https://doi.org/10.1109/tia.2017.2781639,,article,Fei Wang|Lidong Zhou|Hui Ren|Xiaoli Liu|Saber Talari|Miadreza Shafie‐khah|João P. S. Catalào,IEEE Transactions on Industry Applications,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_demand_response_peak_management.json
R000974,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,openalex,https://openalex.org/W2563096608,3,An overview of Demand Response: Key-elements and international experience,,2016,https://doi.org/10.1016/j.rser.2016.11.167,10.1016/j.rser.2016.11.167,https://doi.org/10.1016/j.rser.2016.11.167,https://pure.tue.nl/ws/files/53477124/1_s2.0_S1364032116308966_main.pdf,article,Nikolaos G. Paterakis|Ozan Erdinç|João P. S. Catalào,Renewable and Sustainable Energy Reviews,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_demand_response_peak_management.json
R000975,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,openalex,https://openalex.org/W2581112507,4,Intelligent Residential Energy Management System for Dynamic Demand Response in Smart Buildings,"The advancements in renewable energy technologies direct the power sector to focus on power generation from renewable energy resources (RER) as an alternative solution for meeting the future demand. Nowadays residential buildings are becoming smarter with wide use of smart appliances, integration of information and communication technology, and in-house power generation using RER. In this paper, an intelligent residential energy management system (IREMS) for prosumers of smart residential buildings is proposed, and its benefits are demonstrated through a case study. The primary objective of IREMS is reduction in electricity bills while maintaining the power demand under the maximum demand limit subjected to the various constraints governing the operation of household loads and RER. The IREMS achieves the objective by scheduling the schedulable loads during low pricing intervals while considering the operational dynamics of nonschedulable loads and availability of RER. IREMS also manages the battery energy storage in such a way so as to reduce the power dissipated through the dump load when excess power is available from RER due to the utility-defined power export limit to grid. Further, an optimal resources sizing algorithm is used to choose the size of RER and battery storage for the effective utilization of available renewable energy.",2017,https://doi.org/10.1109/jsyst.2017.2647759,10.1109/jsyst.2017.2647759,https://doi.org/10.1109/jsyst.2017.2647759,,article,S. L. Arun|M. P. Selvan,IEEE Systems Journal,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_demand_response_peak_management.json
R000976,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,openalex,https://openalex.org/W3205185918,5,An overview of machine learning applications for smart buildings,"The efficiency, flexibility, and resilience of building-integrated energy systems are challenged by unpredicted changes in operational environments due to climate change and its consequences. On the other hand, the rapid evolution of artificial intelligence (AI) and machine learning (ML) has equipped buildings with an ability to learn. A lot of research has been dedicated to specific machine learning applications for specific phases of a building's life-cycle. The reviews commonly take a specific, technological perspective without a vision for the integration of smart technologies at the level of the whole system. Especially, there is a lack of discussion on the roles of autonomous AI agents and training environments for boosting the learning process in complex and abruptly changing operational environments. This review article discusses the learning ability of buildings with a system-level perspective and presents an overview of autonomous machine learning applications that make independent decisions for building energy management. We conclude that the buildings’ adaptability to unpredicted changes can be enhanced at the system level through AI-initiated learning processes and by using digital twins as training environments. The greatest potential for energy efficiency improvement is achieved by integrating adaptability solutions at the timescales of HVAC control and electricity market participation.",2021,https://doi.org/10.1016/j.scs.2021.103445,10.1016/j.scs.2021.103445,https://doi.org/10.1016/j.scs.2021.103445,https://www.sciencedirect.com/science/article/pii/S2210670721007186/pdf,article,Kari Alanne|Seppo Sierla,Sustainable Cities and Society,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_demand_response_peak_management.json
R000977,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,openalex,https://openalex.org/W3166890403,6,A National Roadmap for Grid-Interactive Efficient Buildings,"The way electricity is generated and consumed in the US is quickly changing, including in terms of the rapid growth in variable power generation resources and the need for large-scale investments to replace aging infrastructure and modernize the grid. Buildings that coordinate electricity use with grid conditions are a flexible and cost-effective resource to address the evolving power system challenges. Outfitted with smart technologies, GEBs are energy-efficient buildings with smart technologies characterized by the active use of distributed energy resources to optimize energy use for grid services, occupant needs and preferences, and cost reductions in a continuous and integrated way. In doing so, GEBs can play a key role in promoting greater affordability, resilience, environmental performance, and reliability. The report finds that, over the next two decades, GEBs could deliver between $100 and $200 billion in savings to the US power system and cut CO2 emissions by 80 million tons per year by 2030, or 6% of total power sector CO2 emissions. The report also provides 14 recommendations for addressing the top barriers to overcome barriers to GEB adoption and deployment.",2021,https://doi.org/10.2172/1784302,10.2172/1784302,https://doi.org/10.2172/1784302,https://www.osti.gov/servlets/purl/1784302,report,Andrew Satchwell|Mary Ann Piette|Aditya Khandekar|Jessica Granderson|Natalie Frick|Ryan Hledik|Ahmad Faruqui|Long T Lam|Stephanie C. Ross|Jesse Cohen|Kitty Wang|Daniela Urigwe|Dan Delurey|Monica Neukomm|David Nemtzow,Lawrence Berkeley National Laboratory,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_demand_response_peak_management.json
R000978,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,openalex,https://openalex.org/W3119860599,7,Artificial Intelligence Evolution in Smart Buildings for Energy Efficiency,"The emerging concept of smart buildings, which requires the incorporation of sensors and big data (BD) and utilizes artificial intelligence (AI), promises to usher in a new age of urban energy efficiency. By using AI technologies in smart buildings, energy consumption can be reduced through better control, improved reliability, and automation. This paper is an in-depth review of recent studies on the application of artificial intelligence (AI) technologies in smart buildings through the concept of a building management system (BMS) and demand response programs (DRPs). In addition to elaborating on the principles and applications of the AI-based modeling approaches widely used in building energy use prediction, an evaluation framework is introduced and used for assessing the recent research conducted in this field and across the major AI domains, including energy, comfort, design, and maintenance. Finally, the paper includes a discussion on the open challenges and future directions of research on the application of AI in smart buildings.",2021,https://doi.org/10.3390/app11020763,10.3390/app11020763,https://doi.org/10.3390/app11020763,https://www.mdpi.com/2076-3417/11/2/763/pdf?version=1611030454,article,Hooman Farzaneh|Ladan Malehmirchegini|Adrian Bejan|Taofeek Afolabi|Alphonce Ngila Mulumba|Precious P. Daka,Applied Sciences,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_demand_response_peak_management.json
R000979,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,openalex,https://openalex.org/W3045445587,8,"A review of strategies for building energy management system: Model predictive control, demand side management, optimization, and fault detect & diagnosis",,2020,https://doi.org/10.1016/j.jobe.2020.101692,10.1016/j.jobe.2020.101692,https://doi.org/10.1016/j.jobe.2020.101692,https://uvadoc.uva.es/bitstream/10324/64608/4/pre1-s2.0-S2352710220310627-main.pdf,article,Deyslen Mariano-Hernández|Luís Hernández-Callejo|Ángel Zorita-Lamadrid|Óscar Duque-Pérez|Félix Santos García,Journal of Building Engineering,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_demand_response_peak_management.json
R000980,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,openalex,https://openalex.org/W2940930415,9,Grid-Interactive Efficient Buildings,"To help inform the greater building research community and advance U.S. Department of Energy Building Technologies Office’s (BTO) research and development (R&D) portfolio, BTO is publishing a series of technical reports evaluating the opportunities for grid-interactive efficient buildings (GEB).",2019,https://doi.org/10.2172/1508212,10.2172/1508212,https://doi.org/10.2172/1508212,https://www.osti.gov/servlets/purl/1508212,report,Washington DC (United States) U.S. Dept. of Energy (USDOE)|Monica Neukomm|Building Technologies Office (EE-5B) (Building Technologies Office Corporate) USDOE Office of Energy Efficiency and Renewable Energy (EERE)|Valerie Nubbe|Robert L. Fares,,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_demand_response_peak_management.json
R000981,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_demand_response_peak_management,field_and_operational_evidence,openalex,https://openalex.org/W4389671033,10,Optimal peak-shaving for dynamic demand response in smart Malaysian commercial buildings utilizing an efficient PV-BES system,,2023,https://doi.org/10.1016/j.scs.2023.105107,10.1016/j.scs.2023.105107,https://doi.org/10.1016/j.scs.2023.105107,https://repository.uwl.ac.uk/id/eprint/12145/1/Optimal%20Peak-Shaving%20for%20Dynamic%20Demand%20Response%20for%20publication.pdf,article,Jahangir Hossain|Nagham Saeed|Rampelli Manojkumar|Mousa Marzband|Khaled Sedraoui|Yusuf Al‐Turki,Sustainable Cities and Society,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_demand_response_peak_management.json
R000982,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,openalex,https://openalex.org/W3166890403,1,A National Roadmap for Grid-Interactive Efficient Buildings,"The way electricity is generated and consumed in the US is quickly changing, including in terms of the rapid growth in variable power generation resources and the need for large-scale investments to replace aging infrastructure and modernize the grid. Buildings that coordinate electricity use with grid conditions are a flexible and cost-effective resource to address the evolving power system challenges. Outfitted with smart technologies, GEBs are energy-efficient buildings with smart technologies characterized by the active use of distributed energy resources to optimize energy use for grid services, occupant needs and preferences, and cost reductions in a continuous and integrated way. In doing so, GEBs can play a key role in promoting greater affordability, resilience, environmental performance, and reliability. The report finds that, over the next two decades, GEBs could deliver between $100 and $200 billion in savings to the US power system and cut CO2 emissions by 80 million tons per year by 2030, or 6% of total power sector CO2 emissions. The report also provides 14 recommendations for addressing the top barriers to overcome barriers to GEB adoption and deployment.",2021,https://doi.org/10.2172/1784302,10.2172/1784302,https://doi.org/10.2172/1784302,https://www.osti.gov/servlets/purl/1784302,report,Andrew Satchwell|Mary Ann Piette|Aditya Khandekar|Jessica Granderson|Natalie Frick|Ryan Hledik|Ahmad Faruqui|Long T Lam|Stephanie C. Ross|Jesse Cohen|Kitty Wang|Daniela Urigwe|Dan Delurey|Monica Neukomm|David Nemtzow,Lawrence Berkeley National Laboratory,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_frequency_response_regulation.json
R000983,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,openalex,https://openalex.org/W3045445587,2,"A review of strategies for building energy management system: Model predictive control, demand side management, optimization, and fault detect & diagnosis",,2020,https://doi.org/10.1016/j.jobe.2020.101692,10.1016/j.jobe.2020.101692,https://doi.org/10.1016/j.jobe.2020.101692,https://uvadoc.uva.es/bitstream/10324/64608/4/pre1-s2.0-S2352710220310627-main.pdf,article,Deyslen Mariano-Hernández|Luís Hernández-Callejo|Ángel Zorita-Lamadrid|Óscar Duque-Pérez|Félix Santos García,Journal of Building Engineering,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_frequency_response_regulation.json
R000984,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,openalex,https://openalex.org/W2940930415,3,Grid-Interactive Efficient Buildings,"To help inform the greater building research community and advance U.S. Department of Energy Building Technologies Office’s (BTO) research and development (R&D) portfolio, BTO is publishing a series of technical reports evaluating the opportunities for grid-interactive efficient buildings (GEB).",2019,https://doi.org/10.2172/1508212,10.2172/1508212,https://doi.org/10.2172/1508212,https://www.osti.gov/servlets/purl/1508212,report,Washington DC (United States) U.S. Dept. of Energy (USDOE)|Monica Neukomm|Building Technologies Office (EE-5B) (Building Technologies Office Corporate) USDOE Office of Energy Efficiency and Renewable Energy (EERE)|Valerie Nubbe|Robert L. Fares,,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_frequency_response_regulation.json
R000985,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,openalex,https://openalex.org/W3205185918,4,An overview of machine learning applications for smart buildings,"The efficiency, flexibility, and resilience of building-integrated energy systems are challenged by unpredicted changes in operational environments due to climate change and its consequences. On the other hand, the rapid evolution of artificial intelligence (AI) and machine learning (ML) has equipped buildings with an ability to learn. A lot of research has been dedicated to specific machine learning applications for specific phases of a building's life-cycle. The reviews commonly take a specific, technological perspective without a vision for the integration of smart technologies at the level of the whole system. Especially, there is a lack of discussion on the roles of autonomous AI agents and training environments for boosting the learning process in complex and abruptly changing operational environments. This review article discusses the learning ability of buildings with a system-level perspective and presents an overview of autonomous machine learning applications that make independent decisions for building energy management. We conclude that the buildings’ adaptability to unpredicted changes can be enhanced at the system level through AI-initiated learning processes and by using digital twins as training environments. The greatest potential for energy efficiency improvement is achieved by integrating adaptability solutions at the timescales of HVAC control and electricity market participation.",2021,https://doi.org/10.1016/j.scs.2021.103445,10.1016/j.scs.2021.103445,https://doi.org/10.1016/j.scs.2021.103445,https://www.sciencedirect.com/science/article/pii/S2210670721007186/pdf,article,Kari Alanne|Seppo Sierla,Sustainable Cities and Society,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_frequency_response_regulation.json
R000986,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,openalex,https://openalex.org/W4246223068,5,Grid-Interactive Efficient Buildings Technical Report Series: Overview of Research Challenges and Gaps,"These reports evaluate state-of-the-art and emerging building technologies that have significant potential to provide grid services. The reports also identify major research challenges and gaps facing the technologies as well as opportunities for technology-specific R&D. The GEB Technical Report Series will help inform and guide BTO's portfolio and serve as a foundational resource for the larger building research community. On-site behind-the-meter generation, battery storage, and electric vehicles are also an important part of the distributed energy resource (DER) optimization strategy for buildings. In general, the component technology reports do not focus on distributed generation or battery storage, but the Whole-Building Controls, Sensors, Modeling, and Analytics report discusses how a building can optimize across all DERs.",2019,https://doi.org/10.2172/1577966,10.2172/1577966,https://doi.org/10.2172/1577966,https://www.osti.gov/servlets/purl/1577966,report,Monica Neukomm|Energy Efficiency Office. Building Technologies Office USDOE Office of Energy Efficiency and Renewable Energy (EERE)|Valerie Nubbe|Robert L. Fares,,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_frequency_response_regulation.json
R000987,RUN_20260831_EVIDENCE_MAP_01,QFIELD_BLDG_frequency_response_regulation,field_and_operational_evidence,openalex,https://openalex.org/W2896568470,6,A novel deep learning-based method for damage identification of smart building structures,"In the past few years, intelligent structural damage identification algorithms based on machine learning techniques have been developed and obtained considerable attentions worldwide, due to the advantages of reliable analysis and high efficiency. However, the performances of existing machine learning–based damage identification methods are heavily dependent on the selected signatures from raw signals. This will cause the fact that the damage identification method, which is the optimal solution for a specific application, may fail to provide the similar performance on other cases. Besides, the feature extraction is a time-consuming task, which may affect the real-time performance in practical applications. To address these problems, this article proposes a novel method based on deep convolutional neural networks to identify and localise damages of building structures equipped with smart control devices. The proposed deep convolutional neural network is capable of automatically extracting high-level features from raw signals or low-level features and optimally selecting the combination of extracted features via a multi-layer fusion to satisfy any damage identification objective. To evaluate the performance of the proposed deep convolutional neural network method, a five-level benchmark building equipped with adaptive smart isolators subjected to the seismic loading is investigated. The result shows that the proposed method has outstanding generalisation capacity and higher identification accuracy than other commonly used machine learning methods. Accordingly, it is deemed as an ideal and effective method for damage identification of smart structures.",2018,https://doi.org/10.1177/1475921718804132,10.1177/1475921718804132,https://doi.org/10.1177/1475921718804132,https://journals.sagepub.com/doi/pdf/10.1177/1475921718804132,article,Yang Yu|Chaoyue Wang|Xiaoyu Gu|Jianchun Li,Structural Health Monitoring,en,,,,data/raw_metadata/openalex/QFIELD_BLDG_frequency_response_regulation.json
